Animal_Type,Breed,Age,Gender,Weight,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Duration,Appetite_Loss,Vomiting,Diarrhea,Coughing,Labored_Breathing,Lameness,Skin_Lesions,Nasal_Discharge,Eye_Discharge,Body_Temperature,Heart_Rate,Disease_Prediction
Cat,Manx,18,Male,4.7,Skin Lesions,Appetite Loss,Lethargy,Vomiting,10 days,Yes,Yes,No,No,No,No,Yes,No,No,38.7°C,160,Ringworm
Cow,Guernsey,5,Male,450.3,Appetite Loss,Weight Loss,Lethargy,Reduced Milk Production,7 days,No,Yes,No,No,Yes,Yes,Yes,No,No,38.8°C,54,Johne's Disease
Cat,Bengal,10,Female,4.2,Lethargy,Eye Discharge,Appetite Loss,Nasal Discharge,1 week,No,No,No,Yes,Yes,No,No,Yes,Yes,38.8°C,201,Upper Respiratory Infection
Cat,Siamese,3,Female,3.1,Appetite Loss,Weight Loss,Vomiting,Lethargy,2 weeks,Yes,Yes,No,No,No,No,Yes,No,No,39.1°C,180,Feline Leukemia
Horse,Shire,11,Female,383.4,Lameness,Swollen Joints,Appetite Loss,Weight Loss,7 days,No,No,Yes,Yes,No,Yes,No,Yes,No,38.2°C,43,Laminitis
Horse,Arabian,16,Male,425.3,Lameness,Appetite Loss,Swollen Legs,Fever,5 days,No,Yes,Yes,No,Yes,No,Yes,No,Yes,40.1°C,46,Equine Laminitis
Cat,American Curl,1,Male,2.3,Coughing,Appetite Loss,Fever,Lethargy,5 days,Yes,No,Yes,No,No,Yes,No,Yes,Yes,40.6°C,239,Feline Chlamydia
Horse,Shire,21,Female,610.1,Lameness,Swollen Joints,Appetite Loss,Weight Loss,7 days,No,No,Yes,Yes,No,Yes,No,Yes,No,38.6°C,39,Laminitis
Dog,Boxer,4,Female,44.2,Lethargy,Vomiting,Appetite Loss,Fever,5 days,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,41.1°C,148,Canine Leptospirosis
Horse,Morgan,6,Male,574.1,Lameness,Swollen Legs,Appetite Loss,Fever,6 days,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,38.5°C,54,Equine Influenza
Cat,Siberian,15,Male,5.5,Coughing,Sneezing,Nasal Discharge,Fever,3 days,Yes,Yes,No,Yes,No,No,No,Yes,No,40.3°C,213,Feline Calicivirus
Goat,Nigerian Dwarf,7,Female,82.4,Diarrhea,Dehydration,Lethargy,Appetite Loss,5 days,Yes,No,Yes,No,No,Yes,No,No,Yes,39.3°C,88,Coccidiosis
Rabbit,English Angora,1,Male,1.8,Sneezing,Nasal Discharge,Appetite Loss,Fever,3 days,Yes,No,Yes,Yes,No,No,Yes,Yes,No,42.0°C,242,Rabbit Syphilis
Cow,Holstein,5,Female,547.4,Diarrhea,Dehydration,Appetite Loss,Lethargy,5 days,Yes,Yes,No,No,No,Yes,No,No,Yes,39.1°C,64,Coccidiosis
Pig,Large White,5,Female,206.0,Coughing,Appetite Loss,Lethargy,Fever,6 days,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,41.6°C,84,Swine Erysipelas
Cat,Sphynx,13,Male,5.3,Eye Discharge,Nasal Discharge,Coughing,Lethargy,3 days,Yes,No,No,Yes,No,Yes,Yes,No,No,38.4°C,219,Feline Calicivirus
Goat,Kiko,11,Female,59.7,Vomiting,Diarrhea,Lethargy,Fever,5 days,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,40.9°C,111,Foot-and-Mouth Disease
Cat,Ragdoll,5,Female,7.8,Coughing,Appetite Loss,Nasal Discharge,Fever,3 days,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,40.5°C,206,Feline Respiratory Disease Complex
Cow,Charolais,6,Female,454.0,Coughing,Appetite Loss,Lethargy,Fever,4 days,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,40.2°C,93,Bovine Mastitis
Sheep,Border Leicester,1,Male,139.3,Coughing,Appetite Loss,Lethargy,Fever,6 days,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,41.1°C,90,Bluetongue
Cow,Hereford,4,Female,710.5,Coughing,Appetite Loss,Lethargy,Fever,6 days,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,39.9°C,85,Bovine Mastitis
Horse,American Quarter,15,Female,523.2,Lameness,Appetite Loss,Swollen Legs,Fever,7 days,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,38.5°C,47,West Nile Virus
Sheep,Finnsheep,2,Male,99.6,Coughing,Appetite Loss,Lethargy,Fever,6 days,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,40.5°C,106,Bluetongue Virus
Cat,British Shorthair,6,Male,5.3,Coughing,Appetite Loss,Nasal Discharge,Fever,5 days,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,40.6°C,246,Feline Immunodeficiency Virus
Sheep,Karakul,10,Female,85.2,Swollen Joints,Appetite Loss,Coughing,Lethargy,5 days,Yes,No,Yes,No,Yes,No,No,Yes,No,38.9°C,82,Chlamydia in Sheep
Pig,Landrace,3,Female,145.9,Coughing,Appetite Loss,Lethargy,Fever,4 days,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,40.5°C,88,Porcine Epidemic Diarrhea Virus
Dog,Labrador,13,Female,15.0,Lethargy,Appetite Loss,Fever,Vomiting,4 days,Yes,No,No,Yes,No,Yes,No,Yes,No,40.4°C,133,Canine Distemper
Dog,Golden Retriever,4,Male,13.0,Coughing,Lethargy,Appetite Loss,Fever,5 days,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,39.8°C,150,Canine Cough
Dog,Dalmatian,4,Female,42.3,Vomiting,Lethargy,Appetite Loss,Fever,4 days,Yes,Yes,No,No,Yes,No,No,Yes,No,39.4°C,141,Canine Leptospirosis
Horse,Pinto,3,Male,661.1,Lameness,Swollen Joints,Appetite Loss,Reduced Mobility,6 days,No,Yes,No,No,Yes,Yes,No,Yes,Yes,38.6°C,35,Equine Lyme Disease
Sheep,Leicester Longwool,9,Male,131.9,Coughing,Appetite Loss,Lethargy,Fever,5 days,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,41.6°C,109,Scrapie Disease
Horse,Tennessee Walker,22,Male,600.9,Weight Loss,Swollen Joints,Appetite Loss,Fever,8 days,No,Yes,Yes,No,Yes,No,No,Yes,No,39.8°C,57,Equine Encephalitis
Goat,Kiko,8,Male,50.2,Vomiting,Appetite Loss,Lethargy,Fever,5 days,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,40.6°C,105,Pneumonia
Cat,Abyssinian,8,Male,4.0,Nasal Discharge,Coughing,Appetite Loss,Fever,5 days,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,40.9°C,250,Feline Infectious Peritonitis
Cat,Burmese,3,Female,3.0,Sneezing,Nasal Discharge,Eye Discharge,Lethargy,1 week,Yes,No,No,Yes,Yes,No,Yes,No,Yes,38.3°C,182,Feline Upper Respiratory Infection
Cow,Red Poll,6,Female,657.9,Fever,Diarrhea,Lethargy,Appetite Loss,4 days,Yes,No,Yes,No,Yes,No,Yes,Yes,No,40.7°C,78,Bovine Leukemia Virus
Rabbit,Flemish Giant,6,Female,2.2,Sneezing,Appetite Loss,Nasal Discharge,Fever,3 days,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,41.2°C,259,Rabbit Hemorrhagic Disease
Goat,Nigerian Dwarf,11,Male,97.6,Vomiting,Diarrhea,Lethargy,Fever,5 days,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,41.0°C,103,Goat Pox
Horse,Tennessee Walker,15,Male,463.4,Lameness,Swollen Legs,Appetite Loss,Fever,6 days,Yes,No,Yes,No,Yes,Yes,No,Yes,No,39.9°C,51,Equine Protozoal Myeloencephalitis
Pig,Duroc,1,Female,206.3,Coughing,Appetite Loss,Lethargy,Fever,6 days,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,41.9°C,101,Swine Fever
Goat,Saanen,9,Male,82.2,Diarrhea,Dehydration,Lethargy,Appetite Loss,5 days,Yes,Yes,No,No,No,Yes,No,Yes,Yes,38.7°C,79,Giardiasis
Rabbit,Mini Rex,5,Male,1.3,Diarrhea,Appetite Loss,Dehydration,Weight Loss,3 days,No,Yes,No,Yes,No,Yes,No,No,Yes,40.4°C,201,Enteritis
Sheep,Lincoln,6,Male,89.9,Coughing,Appetite Loss,Lethargy,Fever,7 days,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,39.9°C,86,Foot-and-Mouth Disease
Cat,Burmese,7,Female,8.6,Nasal Discharge,Appetite Loss,Lethargy,Fever,5 days,Yes,Yes,No,Yes,No,No,Yes,Yes,No,40.6°C,259,Feline Coronavirus
Horse,Standardbred,1,Male,388.1,Lameness,Swollen Legs,Appetite Loss,Fever,6 days,Yes,No,Yes,No,Yes,No,Yes,Yes,No,39.2°C,51,Equine Influenza Virus
Horse,Pinto,18,Male,380.0,Lethargy,Appetite Loss,Fever,Labored Breathing,5 days,Yes,No,No,Yes,Yes,No,No,No,No,39.0°C,49,Equine Influenza
Pig,Duroc,6,Male,135.7,Vomiting,Diarrhea,Appetite Loss,Fever,5 days,Yes,Yes,No,Yes,Yes,No,Yes,No,No,41.9°C,103,Swine Dysentery
Rabbit,Holland Lop,2,Male,2.1,Sneezing,Appetite Loss,Nasal Discharge,Fever,3 days,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,42.0°C,285,Ringworm
Cat,American Curl,16,Male,5.6,Skin Lesions,Appetite Loss,Lethargy,Vomiting,10 days,Yes,Yes,No,No,No,No,Yes,No,No,38.7°C,185,Ringworm
Dog,Poodle,14,Male,38.2,Lethargy,Vomiting,Appetite Loss,Fever,4 days,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,41.0°C,130,Canine Infectious Hepatitis
Cow,Angus,7,Male,586.8,Coughing,Appetite Loss,Lethargy,Fever,6 days,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,40.9°C,80,Bovine Respiratory Syncytial Virus
Dog,Boxer,5,Female,9.3,Vomiting,Appetite Loss,Diarrhea,Lethargy,3 days,Yes,Yes,No,No,No,Yes,No,No,Yes,38.0°C,114,Gastroenteritis
Goat,Nubian,5,Male,66.4,Diarrhea,Dehydration,Lethargy,Appetite Loss,5 days,Yes,Yes,No,No,No,Yes,No,Yes,Yes,38.5°C,88,Giardiasis
Sheep,Blackface,3,Female,64.7,Coughing,Appetite Loss,Lethargy,Fever,6 days,Yes,No,Yes,No,Yes,Yes,No,Yes,No,41.6°C,98,Blue Tongue Disease
Horse,Paint,7,Male,719.9,Lameness,Swollen Joints,Appetite Loss,Weight Loss,10 days,Yes,Yes,No,Yes,No,Yes,No,Yes,No,37.4°C,38,Equine Osteoarthritis
Goat,Nigerian Dwarf,3,Male,102.6,Vomiting,Diarrhea,Appetite Loss,Fever,6 days,Yes,Yes,Yes,No,Yes,No,Yes,No,No,41.1°C,84,Caprine Pleuropneumonia
Dog,Chihuahua,10,Male,24.4,Diarrhea,Vomiting,Lethargy,Appetite Loss,3 days,Yes,Yes,Yes,No,No,No,No,No,No,39.5°C,102,Gastroenteritis
Rabbit,English Lop,5,Male,5.2,Diarrhea,Appetite Loss,Dehydration,Weight Loss,3 days,No,Yes,No,Yes,No,Yes,No,No,Yes,38.6°C,157,Enteritis
Sheep,Dorset,9,Male,45.1,Coughing,Lethargy,Appetite Loss,Fever,4 days,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,41.1°C,83,Foot and Mouth Disease
Horse,American Quarter,22,Female,489.9,Lameness,Swollen Legs,Appetite Loss,Fever,10 days,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,40.0°C,59,Equine Leptospirosis
Dog,Doberman Pinscher,4,Female,33.5,Lethargy,Labored Breathing,Coughing,Appetite Loss,6 days,Yes,No,No,Yes,Yes,No,No,No,No,39.1°C,92,Heartworm Disease
Dog,Boxer,1,Male,22.9,Vomiting,Diarrhea,Weight Loss,Dehydration,3 days,Yes,No,Yes,No,Yes,No,No,Yes,No,38.6°C,82,Pancreatitis
Dog,Pit Bull,6,Male,9.8,Coughing,Appetite Loss,Lethargy,Fever,4 days,Yes,No,Yes,Yes,No,No,Yes,Yes,No,41.4°C,143,Canine Influenza
Dog,Dachshund,7,Female,35.1,Lameness,Swelling,Appetite Loss,Fever,10 days,Yes,No,No,No,No,Yes,No,No,No,40.0°C,137,Arthritis
Cow,Aberdeen Angus,6,Female,408.9,Fever,Nasal Discharge,Lethargy,Coughing,4 days,Yes,No,No,Yes,No,Yes,No,No,Yes,39.8°C,88,Respiratory Syncytial Virus
Sheep,Tunis,4,Female,122.3,Coughing,Appetite Loss,Lethargy,Fever,6 days,Yes,Yes,No,Yes,Yes,No,No,Yes,No,40.3°C,101,Bluetongue
Rabbit,Himalayan,4,Male,2.0,Diarrhea,Appetite Loss,Dehydration,Weight Loss,3 days,No,Yes,No,Yes,No,Yes,No,No,Yes,39.4°C,156,Enteritis
Cow,Brahman,1,Female,480.9,Fever,Nasal Discharge,Decreased Milk Yield,Lethargy,6 days,Yes,No,No,Yes,No,Yes,No,No,No,39.5°C,84,Bovine Respiratory Syncytial Virus
Pig,Large White,8,Female,164.5,Coughing,Appetite Loss,Lethargy,Fever,6 days,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,40.9°C,111,Swine Erysipelas
Cat,Maine Coon,17,Female,8.1,Lethargy,Eye Discharge,Vomiting,Fever,3 days,Yes,Yes,No,No,No,No,Yes,No,No,40.4°C,210,Panleukopenia
Pig,Landrace,6,Male,123.0,Coughing,Appetite Loss,Lethargy,Fever,4 days,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,41.3°C,89,Porcine Epidemic Diarrhea Virus
Goat,LaMancha,6,Female,68.4,Vomiting,Appetite Loss,Lethargy,Fever,5 days,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,40.8°C,109,Pneumonia
Cat,Sphynx,17,Female,3.6,Coughing,Appetite Loss,Nasal Discharge,Fever,5 days,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,40.2°C,222,Feline Panleukopenia Virus
Cow,Red Poll,8,Male,485.3,Coughing,Appetite Loss,Lethargy,Fever,4 days,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,41.1°C,82,Bovine Parainfluenza
Goat,Angora,12,Female,97.8,Diarrhea,Appetite Loss,Lethargy,Dehydration,7 days,Yes,No,Yes,No,No,Yes,No,Yes,No,38.9°C,76,Gastrointestinal Infection
Cow,Holstein,11,Female,427.0,Diarrhea,Dehydration,Appetite Loss,Lethargy,5 days,Yes,Yes,No,No,No,Yes,No,No,Yes,39.7°C,59,Coccidiosis
Cat,Bengal,4,Female,3.1,Coughing,Nasal Discharge,Eye Discharge,Appetite Loss,4 days,Yes,No,Yes,No,Yes,No,Yes,No,No,38.4°C,174,Feline Viral Rhinotracheitis
Goat,LaMancha,7,Male,44.1,Vomiting,Appetite Loss,Lethargy,Fever,5 days,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,41.6°C,93,Caprine Viral Arthritis
Cat,Ragdoll,16,Male,3.2,Nasal Discharge,Appetite Loss,Coughing,Fever,6 days,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,41.1°C,207,Feline Herpesvirus
Horse,Andalusian,6,Male,785.6,Lameness,Swollen Joints,Appetite Loss,Weight Loss,7 days,No,No,Yes,Yes,No,Yes,No,Yes,No,37.3°C,37,Laminitis
Goat,Toggenburg,11,Male,88.8,Vomiting,Diarrhea,Fever,Appetite Loss,5 days,Yes,Yes,No,Yes,No,No,Yes,Yes,No,40.0°C,106,Caprine Arthritis Encephalitis
Sheep,Corriedale,4,Male,134.6,Coughing,Appetite Loss,Lethargy,Fever,5 days,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,40.1°C,111,Blue Tongue Virus
Dog,Border Collie,5,Female,41.4,Coughing,Labored Breathing,Lethargy,Appetite Loss,2 weeks,Yes,No,No,Yes,Yes,No,No,No,No,38.1°C,99,Chronic Bronchitis
Dog,Rottweiler,5,Female,35.2,Lethargy,Vomiting,Appetite Loss,Fever,4 days,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,40.8°C,169,Canine Leptospirosis
Dog,Dalmatian,11,Male,10.5,Lethargy,Vomiting,Diarrhea,Coughing,2 days,Yes,Yes,Yes,Yes,No,No,No,No,No,39.4°C,68,Canine Parvovirus
Dog,Border Collie,9,Female,41.0,Lethargy,Vomiting,Appetite Loss,Fever,3 days,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,40.8°C,159,Leptospirosis
Cow,Charolais,4,Female,578.9,Appetite Loss,Weight Loss,Lethargy,Reduced Milk Production,10 days,No,Yes,No,No,Yes,Yes,Yes,No,No,38.3°C,52,Johne's Disease
Cat,British Shorthair,1,Female,5.8,Coughing,Appetite Loss,Fever,Lethargy,5 days,Yes,No,Yes,No,No,Yes,No,Yes,Yes,40.4°C,229,Feline Chlamydia
Cat,Persian,16,Male,3.7,Coughing,Appetite Loss,Nasal Discharge,Fever,5 days,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,41.2°C,203,Feline Panleukopenia Virus
Sheep,Hampshire,2,Male,54.1,Swollen Joints,Coughing,Appetite Loss,Lethargy,8 days,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,39.7°C,75,Scrapie
Goat,Nubian,8,Male,109.7,Vomiting,Diarrhea,Lethargy,Fever,5 days,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,41.0°C,101,Caprine Viral Arthritis
Horse,Shire,22,Female,366.1,Swollen Joints,Lameness,Fever,Appetite Loss,9 days,No,No,Yes,Yes,Yes,No,No,No,No,40.4°C,56,Equine Arthritis
Sheep,Suffolk,3,Female,102.8,Coughing,Appetite Loss,Lethargy,Fever,4 days,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,41.6°C,85,Scrapie
Cat,Manx,12,Female,7.0,Vomiting,Appetite Loss,Lethargy,Diarrhea,4 days,Yes,Yes,Yes,No,No,No,No,No,No,38.2°C,156,Intestinal Parasites
Cow,Jersey,9,Male,524.6,Appetite Loss,Lethargy,Diarrhea,Dehydration,5 days,Yes,No,No,Yes,No,No,Yes,No,No,38.2°C,63,Bovine Coccidiosis
Dog,Labrador,3,Female,13.0,Lethargy,Vomiting,Appetite Loss,Fever,3 days,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,40.9°C,138,Canine Hepatitis
Dog,Akita,7,Male,41.2,Coughing,Labored Breathing,Fever,Nasal Discharge,8 days,Yes,No,No,Yes,No,Yes,No,Yes,Yes,41.0°C,172,Bordetella Infection
Sheep,Texel,10,Male,92.4,Swollen Joints,Appetite Loss,Lethargy,Coughing,5 days,Yes,Yes,No,Yes,No,Yes,No,Yes,No,39.1°C,77,Caseous Lymphadenitis
Cat,Maine Coon,14,Female,7.9,Vomiting,Diarrhea,Lethargy,Appetite Loss,5 days,Yes,Yes,Yes,No,No,No,No,No,No,39.0°C,189,Panleukopenia
Horse,Percheron,18,Male,798.0,Lameness,Swollen Joints,Appetite Loss,Reduced Mobility,6 days,No,Yes,No,No,Yes,Yes,No,Yes,Yes,37.5°C,28,Equine Lyme Disease
Cat,Burmese,15,Female,6.0,Coughing,Appetite Loss,Nasal Discharge,Fever,5 days,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,40.0°C,274,Feline Panleukopenia Virus
Dog,Yorkshire Terrier,3,Female,43.1,Vomiting,Diarrhea,Weight Loss,Dehydration,3 days,Yes,No,Yes,No,Yes,No,No,Yes,No,39.2°C,77,Pancreatitis
Cow,Red Poll,10,Male,480.2,Fever,Nasal Discharge,Labored Breathing,Coughing,5 days,Yes,No,No,Yes,Yes,No,No,Yes,No,40.9°C,95,Foot and Mouth Disease
Dog,Poodle,12,Female,7.2,Lethargy,Appetite Loss,Fever,Vomiting,6 days,Yes,No,Yes,No,Yes,Yes,No,No,Yes,41.3°C,143,Canine Hepatitis
Cat,Abyssinian,10,Male,6.9,Coughing,Appetite Loss,Nasal Discharge,Fever,3 days,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,40.7°C,240,Feline Respiratory Disease Complex
Dog,Chihuahua,11,Female,30.3,Coughing,Appetite Loss,Lethargy,Fever,4 days,Yes,No,Yes,Yes,No,No,Yes,Yes,No,40.1°C,166,Canine Influenza
Dog,Doberman Pinscher,2,Female,24.4,Coughing,Appetite Loss,Lethargy,Fever,4 days,Yes,No,Yes,Yes,No,No,Yes,Yes,No,40.0°C,145,Canine Influenza
Sheep,Dorper,7,Female,134.4,Coughing,Appetite Loss,Lethargy,Fever,4 days,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,40.4°C,91,Maedi-Visna
Sheep,Tunis,6,Male,108.7,Coughing,Labored Breathing,Nasal Discharge,Appetite Loss,4 days,No,No,Yes,Yes,No,Yes,Yes,No,Yes,39.3°C,86,Pasteurellosis
Sheep,Tunis,6,Male,109.8,Coughing,Appetite Loss,Lethargy,Fever,5 days,Yes,Yes,No,Yes,No,No,Yes,Yes,No,40.8°C,82,Contagious Abortion
Cat,Bombay,4,Male,4.7,Eye Discharge,Nasal Discharge,Sneezing,Lethargy,5 days,Yes,Yes,No,No,No,Yes,No,Yes,Yes,39.7°C,154,Feline Respiratory Infection
Cat,Abyssinian,6,Female,8.1,Vomiting,Diarrhea,Lethargy,Appetite Loss,5 days,Yes,Yes,Yes,No,No,No,No,No,No,38.7°C,147,Panleukopenia
Cat,Sphynx,7,Male,5.4,Appetite Loss,Vomiting,Eye Discharge,Lethargy,2 days,No,Yes,No,No,No,No,Yes,No,Yes,39.2°C,164,Conjunctivitis
Dog,Bulldog,11,Female,48.1,Coughing,Lethargy,Appetite Loss,Fever,5 days,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,39.6°C,161,Canine Cough
Dog,Rottweiler,14,Male,41.2,Lethargy,Vomiting,Appetite Loss,Fever,5 days,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,41.3°C,172,Canine Leptospirosis
Dog,Chihuahua,1,Female,5.5,Labored Breathing,Coughing,Nasal Discharge,Appetite Loss,6 days,Yes,No,No,Yes,Yes,No,No,Yes,No,39.6°C,109,Canine Distemper
Cat,Ragdoll,12,Male,4.3,Vomiting,Appetite Loss,Diarrhea,Weight Loss,6 days,Yes,Yes,No,No,Yes,No,Yes,No,No,38.8°C,217,Gastroenteritis
Sheep,Dorper,10,Female,91.1,Lethargy,Swollen Joints,Fever,Appetite Loss,6 days,No,Yes,No,Yes,Yes,No,Yes,No,Yes,40.4°C,91,Footrot
Rabbit,English Spot,6,Male,5.5,Sneezing,Appetite Loss,Nasal Discharge,Fever,4 days,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,40.7°C,309,Rabbit Hemorrhagic Disease
Rabbit,Himalayan,4,Male,3.0,Sneezing,Nasal Discharge,Appetite Loss,Fever,4 days,Yes,Yes,No,Yes,No,Yes,No,No,Yes,41.3°C,296,Rabbit Viral Hemorrhagic Disease
Cow,Limousin,10,Male,636.9,Appetite Loss,Diarrhea,Lethargy,Decreased Milk Yield,7 days,Yes,No,Yes,No,No,No,No,No,No,38.3°C,74,Johne's Disease
Sheep,Corriedale,7,Female,124.0,Weight Loss,Reduced Wool Production,Lethargy,Appetite Loss,7 days,Yes,Yes,No,No,Yes,No,No,No,Yes,38.6°C,87,Foot-and-Mouth Disease
Horse,Arabian,6,Male,487.3,Lameness,Weight Loss,Appetite Loss,Swollen Joints,7 days,No,Yes,No,Yes,Yes,No,No,Yes,No,38.0°C,38,Equine Osteoarthritis
Horse,Paint,21,Female,686.1,Lethargy,Appetite Loss,Fever,Labored Breathing,6 days,Yes,No,No,Yes,Yes,No,No,No,No,40.5°C,55,Equine Influenza
Horse,Welsh Pony,15,Female,365.8,Lameness,Swollen Joints,Lethargy,Weight Loss,6 days,No,No,No,Yes,No,Yes,Yes,No,No,38.1°C,35,Degenerative Joint Disease
Goat,Angora,3,Male,104.2,Vomiting,Diarrhea,Lethargy,Fever,6 days,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,41.3°C,97,Caprine Viral Arthritis
Dog,Cocker Spaniel,8,Male,20.1,Coughing,Labored Breathing,Fever,Nasal Discharge,8 days,Yes,No,No,Yes,No,Yes,No,Yes,Yes,39.6°C,153,Bordetella Infection
Pig,Hampshire,1,Female,130.6,Coughing,Lethargy,Nasal Discharge,Appetite Loss,3 days,Yes,Yes,No,Yes,Yes,No,Yes,No,No,39.5°C,85,Porcine Epidemic Diarrhea
Horse,Arabian,7,Female,515.2,Lameness,Swollen Legs,Appetite Loss,Fever,6 days,Yes,No,Yes,No,Yes,No,Yes,Yes,No,40.3°C,44,Equine Influenza Virus
Sheep,Blackface,10,Male,105.2,Coughing,Appetite Loss,Lethargy,Fever,5 days,Yes,Yes,No,Yes,No,No,Yes,Yes,No,39.8°C,99,Contagious Abortion
Cat,Devon Rex,13,Male,7.9,Vomiting,Appetite Loss,Lethargy,Diarrhea,4 days,Yes,Yes,Yes,No,No,No,No,No,No,39.1°C,160,Intestinal Parasites
Sheep,Cheviot,6,Male,123.0,Coughing,Appetite Loss,Lethargy,Fever,4 days,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,40.2°C,112,Maedi-Visna
Cat,Maine Coon,11,Female,8.1,Coughing,Appetite Loss,Nasal Discharge,Fever,3 days,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,41.2°C,216,Feline Respiratory Disease Complex
Goat,Angora,6,Male,32.8,Fever,Vomiting,Diarrhea,Appetite Loss,5 days,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,39.9°C,96,Caprine Pleuropneumonia
Rabbit,English Angora,3,Male,5.8,Sneezing,Appetite Loss,Nasal Discharge,Fever,3 days,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,41.9°C,248,Ringworm
Sheep,Blackface,1,Male,46.9,Coughing,Appetite Loss,Lethargy,Fever,4 days,Yes,No,Yes,Yes,Yes,No,Yes,No,No,41.5°C,89,Foot and Mouth Disease
Cat,Devon Rex,11,Female,4.4,Coughing,Appetite Loss,Nasal Discharge,Fever,5 days,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,40.8°C,259,Feline Panleukopenia Virus
Pig,Landrace,1,Female,155.0,Coughing,Appetite Loss,Lethargy,Nasal Discharge,3 days,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,40.0°C,66,Porcine Reproductive and Respiratory Syndrome
Rabbit,English Lop,5,Male,3.5,Sneezing,Appetite Loss,Nasal Discharge,Fever,5 days,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,40.8°C,227,Respiratory Infection
Cow,Red Poll,4,Male,404.2,Coughing,Lethargy,Appetite Loss,Swollen Legs,6 days,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,38.2°C,62,Bovine Tuberculosis
Sheep,Rambouillet,6,Male,127.0,Coughing,Appetite Loss,Lethargy,Fever,7 days,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,39.9°C,95,Scrapie Disease
Pig,Chester White,1,Female,72.0,Coughing,Appetite Loss,Nasal Discharge,Fever,5 days,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,41.4°C,104,Swine Influenza
Cow,Jersey,3,Female,578.9,Appetite Loss,Weight Loss,Fever,Lethargy,6 days,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,39.6°C,88,Bovine Johne's Disease
Cat,Manx,17,Male,6.6,Nasal Discharge,Appetite Loss,Coughing,Fever,5 days,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,40.1°C,211,Feline Asthma
